,skip_1,skip_2,skip_3,not_skipped,accuracy,macro avg,weighted avg
precision,0.4576603773584906,0.09205020920502092,0.13677811550151975,0.3979337370858568,0.4216,0.271105609787722,0.3601479282478521
recall,0.689247556262787,0.022044088176352707,0.035046728971962614,0.3365471527568545,0.4216,0.2707213815419892,0.4216
f1-score,0.5500725689404935,0.03556992724333064,0.05579665220086794,0.36467515507672216,0.4216,0.25152857586535354,0.373726775928363
support,4399.0,998.0,1284.0,3319.0,0.4216,10000.0,10000.0
